epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
1,626,2045,1581,347,50,6,1,1,1,1
2,613,2043,1290,274,41,7,2,1,1,1
3,706,2048,2043,1724,1164,430,103,24,15,13
4,714,2048,2048,2043,1873,853,153,29,20,15
5,714,2048,2048,2048,1941,865,144,37,28,25
6,715,2048,2048,2048,1975,912,157,49,33,29
7,715,2048,2048,2048,1975,870,156,56,38,30
8,715,2048,2048,2048,1967,795,145,56,40,31
9,714,2048,2048,2048,1961,719,130,56,41,32
10,714,2048,2048,2048,1959,670,122,55,40,32
11,715,2048,2048,2048,1940,580,110,55,42,33
12,714,2048,2048,2048,1931,514,102,56,42,32
13,715,2048,2048,2048,1903,439,94,56,42,32
14,715,2048,2048,2047,1875,387,86,53,40,31
15,715,2048,2048,2048,1810,321,78,50,38,30
16,714,2048,2048,2047,1722,274,72,48,38,30
17,714,2048,2048,2048,1616,239,68,48,37,31
18,714,2048,2048,2047,1514,207,66,46,37,30
19,714,2048,2048,2046,1391,179,58,42,35,28
20,715,2048,2048,2046,1278,165,59,43,35,28
21,714,2048,2048,2046,1156,147,56,40,32,27
22,714,2048,2048,2045,1036,130,53,40,32,25
23,714,2048,2048,2045,925,118,50,41,32,25
24,714,2048,2048,2044,817,107,49,37,30,24
25,713,2048,2048,2040,726,98,47,36,30,24
26,714,2048,2048,2035,641,91,45,35,29,24
27,713,2048,2048,2032,571,85,45,35,29,25
28,713,2048,2048,2028,505,78,44,34,29,24
29,713,2048,2048,2026,447,74,44,34,29,25
30,713,2048,2048,2022,373,68,42,33,28,25
31,713,2048,2048,2024,350,68,41,32,30,25
32,713,2048,2048,2024,313,65,40,32,29,23
33,713,2048,2048,2024,286,59,38,30,27,24
34,713,2048,2048,2015,261,57,39,30,27,24
35,713,2048,2048,2021,239,56,37,30,29,24
36,713,2048,2048,2013,222,54,36,29,26,23
37,713,2048,2048,1995,200,51,36,28,25,23
38,713,2048,2048,1977,189,48,36,28,24,21
39,713,2048,2048,1928,172,48,34,27,24,21
40,713,2048,2048,1866,160,46,34,27,23,22
41,712,2048,2048,1796,149,45,33,26,23,21
42,712,2048,2048,1701,136,43,31,25,21,20
43,712,2048,2048,1575,123,42,30,25,21,20
44,712,2048,2048,1464,114,40,30,24,20,20
45,712,2048,2048,1352,108,39,29,23,20,19
46,712,2048,2048,1249,103,38,29,22,20,18
47,712,2048,2048,1156,97,37,29,22,19,18
48,712,2048,2047,1071,93,36,28,22,19,18
49,712,2048,2047,996,89,36,28,21,19,19
50,712,2048,2046,926,86,35,27,21,19,19
51,712,2048,2046,858,82,35,26,21,19,19
52,711,2048,2046,793,78,34,26,21,19,19
53,711,2048,2046,734,76,34,25,21,19,19
54,710,2048,2046,674,74,34,25,21,19,19
55,711,2048,2046,622,70,33,25,21,19,19
56,710,2048,2046,573,68,33,24,21,19,19
57,712,2048,2047,460,58,30,23,22,19,19
58,712,2048,2046,495,59,30,23,21,18,18
59,712,2048,2047,500,60,31,24,21,18,19
60,712,2048,2048,512,61,31,26,22,19,19
61,712,2048,2048,504,60,32,26,22,18,18
62,712,2048,2048,484,59,32,25,21,18,19
63,712,2048,2048,465,59,31,24,21,18,19
64,712,2048,2047,411,53,29,23,20,17,19
65,712,2048,2047,397,51,28,22,20,17,16
66,712,2048,2047,368,48,28,22,19,17,16
67,711,2048,2047,329,45,28,22,18,16,15
68,710,2048,2047,297,44,26,20,18,16,15
69,710,2048,2045,273,43,26,19,17,16,15
70,710,2048,2044,255,42,24,19,17,15,15
71,710,2048,2042,241,41,24,19,16,15,15
72,710,2048,2041,225,40,24,18,16,15,15
73,710,2048,2039,212,39,23,18,16,15,15
74,708,2048,2034,200,37,23,18,16,15,15
75,708,2048,2033,189,36,23,18,15,14,15
76,707,2048,2027,179,36,23,18,15,15,15
77,707,2048,2021,169,36,21,17,15,15,15
78,707,2048,2012,160,35,21,17,15,14,15
79,707,2048,2001,152,34,21,17,15,14,15
80,707,2048,1991,145,34,21,17,15,14,15
81,707,2048,1977,137,34,21,17,15,14,15
82,707,2048,1965,130,32,20,17,15,14,15
83,707,2048,1950,125,31,20,16,15,14,15
84,707,2048,1929,120,30,20,16,15,14,14
85,707,2048,1906,115,30,20,15,15,14,14
86,707,2048,1877,110,29,20,15,15,14,14
87,707,2048,1846,106,29,19,15,15,14,14
88,707,2048,1813,103,29,19,15,15,14,14
89,707,2048,1772,99,28,19,15,15,14,14
90,707,2048,1733,95,28,19,15,15,14,14
91,707,2048,1440,72,23,17,14,13,12,13
92,708,2048,1781,90,28,19,16,14,13,13
93,710,2048,1881,101,29,20,17,14,13,14
94,710,2048,1919,112,30,22,19,16,13,14
95,710,2048,1948,113,30,21,18,15,14,15
96,710,2048,1926,110,30,21,18,16,13,14
97,710,2048,1934,113,29,22,17,16,13,14
98,710,2048,1914,110,30,23,17,16,13,14
99,710,2048,1892,106,29,22,17,15,13,13
100,710,2048,1888,102,29,21,16,15,13,13
101,710,2048,1884,102,29,21,16,14,13,13
102,710,2048,1882,102,29,21,16,14,13,13
103,710,2048,1879,102,29,21,16,14,13,13
104,710,2048,1876,102,29,20,16,14,13,13
105,710,2048,1871,102,29,20,16,14,13,13
106,710,2048,1865,101,29,20,16,14,13,13
107,710,2048,1860,101,29,20,16,14,13,13
108,709,2048,1854,101,29,20,16,14,13,13
109,709,2048,1848,100,29,20,15,14,13,13
110,708,2048,1842,100,29,20,15,14,13,13
111,708,2048,1835,99,29,20,15,14,13,13
112,708,2048,1828,99,29,20,15,14,12,13
113,708,2048,1821,98,29,20,15,14,12,13
114,708,2048,1815,98,29,20,15,14,12,13
115,708,2048,1808,97,29,20,15,14,12,13
116,708,2048,1801,96,29,20,15,14,12,13
117,707,2048,1793,96,29,20,15,14,12,12
118,707,2048,1785,96,29,20,15,14,12,12
119,707,2048,1779,96,29,20,15,14,12,12
120,707,2048,1772,95,29,20,15,14,12,12
121,707,2048,1766,94,29,20,15,13,12,12
122,707,2048,1757,94,29,20,15,13,12,12
123,707,2048,1750,94,29,20,15,13,12,12
124,707,2048,1743,93,29,20,15,13,12,12
