cfg_id,epoch,train_err,test_err,gap,epsilon_sum,sum_bound,riemann_sum_terms,Spec_L21
6,71,0,0.0167,0.0167,5.303155667,38.48980395,66081217.47,1.38E+16
6,72,0,0.0168,0.0168,5.337000762,38.19167577,64765780.21,1.30E+16
6,73,0,0.0166,0.0166,5.367211204,37.92884401,63615595.87,1.22E+16
6,74,0,0.0173,0.0173,5.390642523,37.67776999,62547515.99,1.16E+16
6,75,0,0.0167,0.0167,5.418191874,37.44665546,61549348.79,1.11E+16
6,76,0,0.017,0.017,5.440030514,37.2395266,60672477.1,1.05E+16
6,77,0,0.0172,0.0172,5.459757371,37.02557389,59784046.37,1.03E+16
6,78,0,0.017,0.017,5.474631328,36.82999035,58989512.36,9.79727E+15
6,79,0,0.0177,0.0177,5.49284294,36.61996017,58133845.63,9.50368E+15
6,80,0,0.0179,0.0179,5.512080586,36.42528877,57337586.4,9.18198E+15
6,81,0,0.0188,0.0188,5.525377945,36.2282844,56560107.88,8.95754E+15
6,82,0,0.0188,0.0188,5.535606961,36.04612332,55853496.5,8.66602E+15
6,83,0,0.0184,0.0184,5.544448742,35.87087136,55181514.54,8.46943E+15
6,84,0,0.0185,0.0185,5.547815737,35.6896832,54511930.44,8.23809E+15
6,85,0,0.0194,0.0194,5.543071813,35.53215877,53960720.2,8.17802E+15
6,86,0,0.0194,0.0194,5.526622327,35.38547889,53493078.93,8.01805E+15
6,87,0,0.0195,0.0195,5.51237454,35.22882327,52984039.52,7.94471E+15
6,88,0,0.02,0.02,5.495979889,35.07749191,52503951.19,7.69868E+15
6,89,0,0.0196,0.0196,5.464410787,34.92948382,52091431.74,7.75463E+15
6,90,0,0.02,0.02,5.433571186,34.79575767,51728279.69,7.48289E+15
6,91,0.020833333,0.0341,0.013266667,5.185289533,33.7945016,49109220.9,6.90E+16
6,92,0.012383333,0.029,0.016616667,5.321347304,35.57855201,54929906.2,8.27E+16
6,93,0.008633333,0.0247,0.016066667,5.32898191,36.28587681,57499760.53,6.50E+16
6,94,0.00685,0.0239,0.01705,5.291322038,36.82979136,59680502.84,6.55E+16
6,95,0.003233333,0.0209,0.017666667,5.287368958,37.03020718,60456466.69,4.71E+16
6,96,0.003116667,0.0172,0.014083333,5.282582746,36.89261137,59951634.56,4.20E+16
6,97,0.001283333,0.0183,0.017016667,5.272054921,37.00995065,60437641.53,3.91E+16
6,98,0.00125,0.0167,0.01545,5.266340712,36.90256289,60051033.23,2.99E+16
6,99,0.00165,0.0204,0.01875,5.262054705,36.73590063,59436178.63,3.49E+16
6,100,0.0013,0.0182,0.0169,5.279912942,36.58028139,58782783.91,3.50E+16
6,101,3.33E-05,0.0159,0.015866667,5.275564641,36.57175911,58767107.3,2.80E+16
6,102,1.67E-05,0.0153,0.015283333,5.275367585,36.55979043,58722906.77,2.61E+16
6,103,1.67E-05,0.0154,0.015383333,5.277315092,36.53078823,58606774.99,2.50E+16
6,104,0,0.0153,0.0153,5.278434885,36.49941273,58484967.45,2.41E+16
6,105,0,0.0149,0.0149,5.27970278,36.46031954,58333851.71,2.32E+16
6,106,0,0.0154,0.0154,5.278807162,36.41998931,58186393.54,2.25E+16
6,107,0,0.0153,0.0153,5.28050307,36.37649161,58017630.2,2.20E+16
6,108,0,0.0153,0.0153,5.281166435,36.33087803,57845075.42,2.15E+16
6,109,0,0.0152,0.0152,5.280102656,36.28435419,57675816.8,2.10E+16
6,110,0,0.0152,0.0152,5.279891446,36.2364585,57498542.64,2.06E+16
6,111,0,0.0153,0.0153,5.280214563,36.186843,57313180.89,2.01E+16
6,112,0,0.0153,0.0153,5.278766317,36.13937909,57142645.23,1.97E+16
6,113,0,0.0151,0.0151,5.278945518,36.08954918,56957597.89,1.93E+16
6,114,0,0.0151,0.0151,5.280957172,36.04104366,56770975.23,1.89E+16
6,115,0,0.0148,0.0148,5.280237216,35.99280239,56595699.57,1.86E+16
6,116,0,0.0148,0.0148,5.279466176,35.94479413,56421740.31,1.83E+16
6,117,0,0.0148,0.0148,5.277301253,35.89696603,56253832.25,1.80E+16
6,118,0,0.0149,0.0149,5.276783199,35.84770565,56074877.95,1.77E+16
6,119,0,0.015,0.015,5.278345092,35.80142172,55899492.41,1.74E+16
6,120,0,0.0149,0.0149,5.27758984,35.75329276,55726108.1,1.72E+16
6,121,0,0.0148,0.0148,5.276218012,35.70809078,55565932.81,1.69E+16
6,122,0,0.0147,0.0147,5.273566433,35.66248819,55409193.92,1.66E+16
6,123,0,0.0147,0.0147,5.273693548,35.61657614,55241431.43,1.64E+16
6,124,0,0.0148,0.0148,5.272390946,35.57097781,55080261.95,1.62E+16
6,125,0,0.0147,0.0147,5.270676301,35.52731118,54927837.25,1.60E+16
6,126,0,0.0148,0.0148,5.267838763,35.48245519,54775382.75,1.58E+16
6,127,0,0.0148,0.0148,5.2658664,35.43994422,54628498.32,1.56E+16
6,128,0,0.0148,0.0148,5.266467294,35.39821463,54475331.83,1.54E+16
6,129,0,0.0147,0.0147,5.263727981,35.35550377,54330898.22,1.52E+16
6,130,0,0.015,0.015,5.262248446,35.31436955,54187798.96,1.50E+16
6,131,0,0.0149,0.0149,5.261322663,35.27331952,54043197.33,1.48E+16
6,132,0,0.0148,0.0148,5.2603079,35.23267177,53900555.76,1.46E+16
6,133,0,0.0149,0.0149,5.259031964,35.19323461,53763389.3,1.44E+16
6,134,0,0.015,0.015,5.258109859,35.15453603,53627777.87,1.42E+16
6,135,0,0.0149,0.0149,5.256193096,35.11564806,53495223.04,1.41E+16
6,136,0,0.015,0.015,5.253358205,35.07694743,53366788.47,1.39E+16
6,137,0,0.015,0.015,5.253140921,35.03897737,53231763.2,1.38E+16
6,138,0,0.0149,0.0149,5.249782457,35.00265873,53114018.79,1.36E+16
6,139,0,0.0149,0.0149,5.24781499,34.96631553,52991356.46,1.35E+16
6,140,0,0.0151,0.0151,5.247097153,34.93063299,52866738,1.33E+16
6,141,0,0.0151,0.0151,5.246604529,34.89389238,52737700.61,1.32E+16
6,142,0,0.0155,0.0155,5.246988883,34.85957819,52614326.73,1.30E+16
6,143,0,0.0153,0.0153,5.244746037,34.82444186,52497504.31,1.29E+16
6,144,0,0.0154,0.0154,5.240349838,34.79105297,52394643.34,1.27E+16
6,145,0,0.0153,0.0153,5.239517361,34.7575283,52278778.19,1.26E+16
6,146,0,0.0155,0.0155,5.238250271,34.72430422,52165642.63,1.25E+16
6,147,0,0.0156,0.0156,5.238178658,34.69205386,52051845.87,1.23E+16
6,148,0,0.0155,0.0155,5.236783761,34.65917829,51940637.98,1.23E+16
6,149,0,0.0154,0.0154,5.235016561,34.62844014,51838400.97,1.21E+16
6,150,0,0.0153,0.0153,5.233553821,34.59606119,51729410.34,1.20E+16
6,151,0,0.0154,0.0154,5.228805552,34.56575302,51639389.21,1.19E+16
6,152,0,0.0156,0.0156,5.228212003,34.53573753,51535863.17,1.18E+16
6,153,0,0.0154,0.0154,5.225007549,34.50488839,51438685.33,1.17E+16
6,154,0,0.0156,0.0156,5.224310212,34.47543055,51337682.46,1.15E+16
6,155,0,0.0157,0.0157,5.222210556,34.44587563,51241356.02,1.14E+16
6,156,0,0.0157,0.0157,5.219568919,34.41878672,51155659.19,1.13E+16
6,157,0,0.0155,0.0155,5.218177467,34.38913214,51056675.78,1.13E+16
6,158,0,0.0157,0.0157,5.218046722,34.36039981,50956604.6,1.12E+16
6,159,0,0.0155,0.0155,5.215498842,34.33282177,50869109.67,1.11E+16
6,160,0,0.0157,0.0157,5.214110582,34.3064225,50781756.77,1.10E+16
6,161,0,0.0157,0.0157,5.210966986,34.27806075,50693756.38,1.09E+16
6,162,0,0.0159,0.0159,5.21048803,34.25099776,50601072.33,1.08E+16
6,163,0,0.0159,0.0159,5.209159987,34.22431054,50512737.7,1.07E+16
6,164,0,0.016,0.016,5.207094669,34.19919445,50432510.98,1.06E+16
6,165,0,0.016,0.016,5.205825787,34.1739919,50349278.87,1.06E+16
6,166,0,0.0161,0.0161,5.204441961,34.14751847,50262100.67,1.05E+16
6,167,0,0.016,0.016,5.199810115,34.12271811,50192076.41,1.04E+16
6,168,0,0.0159,0.0159,5.200265713,34.09809869,50105085.05,1.04E+16
6,169,0,0.016,0.016,5.196607042,34.072028,50027396.14,1.03E+16
6,170,0,0.0161,0.0161,5.196017101,34.0480708,49946460.16,1.02E+16
6,171,0,0.0161,0.0161,5.196497427,34.04588404,49937226.48,1.02E+16
6,172,0,0.0161,0.0161,5.195954264,34.04354971,49931025.79,1.02E+16
6,173,0,0.0161,0.0161,5.196087007,34.04118254,49922372.18,1.02E+16
6,174,0,0.0161,0.0161,5.194950044,34.03876526,49917940.58,1.02E+16
6,175,0,0.0161,0.0161,5.194260682,34.03635642,49911989.18,1.02E+16
6,176,0,0.0161,0.0161,5.194798137,34.03390919,49901659.57,1.02E+16
6,177,0,0.0161,0.0161,5.195326554,34.03150517,49891511.83,1.02E+16
6,178,0,0.0161,0.0161,5.194777614,34.02906065,49884952.71,1.02E+16
6,179,0,0.0161,0.0161,5.194219499,34.02653609,49878148.8,1.02E+16
6,180,0,0.0161,0.0161,5.194063862,34.02410922,49870290.92,1.01E+16
6,181,0,0.0161,0.0161,5.194612923,34.02161137,49859750.36,1.01E+16
6,182,0,0.0161,0.0161,5.193692753,34.01922583,49854681.43,1.01E+16
6,183,0,0.0161,0.0161,5.192730327,34.01682598,49849709.42,1.01E+16
6,184,0,0.0161,0.0161,5.191773578,34.01444726,49844791.1,1.01E+16
6,185,0,0.0161,0.0161,5.190950042,34.01198676,49839129.46,1.01E+16
6,186,0,0.016,0.016,5.191477386,34.00958655,49829004.93,1.01E+16
6,187,0,0.0161,0.0161,5.190561628,34.00717963,49823848.38,1.01E+16
6,188,0,0.0161,0.0161,5.191101681,34.00472099,49813479.45,1.01E+16
6,189,0,0.0161,0.0161,5.190346265,34.00234075,49807861.57,1.01E+16
6,190,0,0.0161,0.0161,5.190731697,33.99982905,49797845.41,1.01E+16
6,191,0,0.0161,0.0161,5.191261203,33.99741994,49787686.87,1.01E+16
6,192,0,0.0161,0.0161,5.190805696,33.99505401,49781083.24,1.01E+16
6,193,0,0.016,0.016,5.19086623,33.99264156,49772535.74,1.01E+16
6,194,0,0.016,0.016,5.18994144,33.99027193,49767542.19,1.01E+16
6,195,0,0.016,0.016,5.190472617,33.98785567,49757356.23,1.00E+16
6,196,0,0.016,0.016,5.190825544,33.98550463,49748012.61,1.00E+16
6,197,0,0.016,0.016,5.190031708,33.98308737,49742403.26,1.00E+16
6,198,0,0.016,0.016,5.189147585,33.98072782,49737305.54,1.00E+16
6,199,0,0.016,0.016,5.189689174,33.97826518,49726926.51,1.00E+16
6,200,0,0.016,0.016,5.188829569,33.9759248,49721811.09,1.00E+16
