epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
1,589,2031,1206,87,11,1,1,1,1,1
2,569,1933,808,54,8,2,1,1,1,1
3,552,1661,624,46,7,3,2,1,1,1
4,702,2048,2038,428,332,133,34,16,11,11
5,714,2048,2048,512,466,312,107,42,34,31
6,715,2048,2048,512,481,310,101,44,34,32
7,715,2048,2048,512,484,316,109,50,39,31
8,715,2048,2048,512,485,313,111,54,41,34
9,715,2048,2048,512,490,303,104,55,37,33
10,714,2048,2048,512,492,298,104,55,39,32
11,714,2048,2048,512,493,293,105,55,38,33
12,715,2048,2048,512,491,274,98,52,37,34
13,715,2048,2048,512,490,257,96,54,38,33
14,715,2048,2048,512,487,242,92,53,37,31
15,715,2048,2048,512,484,227,83,48,35,32
16,715,2048,2048,512,485,211,79,46,34,32
17,715,2048,2048,512,481,192,76,45,34,31
18,714,2048,2048,512,479,178,70,43,34,28
19,715,2048,2048,512,476,162,65,41,34,30
20,714,2048,2048,512,473,147,61,40,32,29
21,715,2048,2048,512,466,135,60,40,33,29
22,714,2048,2048,512,450,120,55,37,31,27
23,714,2048,2048,512,439,111,52,37,31,27
24,714,2048,2048,512,419,99,50,35,30,26
25,714,2048,2048,512,406,101,48,33,29,25
26,715,2048,2048,512,380,87,48,34,30,26
27,714,2048,2048,512,366,86,48,33,28,25
28,714,2048,2048,512,341,78,46,31,29,24
29,714,2048,2048,512,315,72,44,31,28,22
30,715,2048,2048,512,292,68,44,32,28,27
31,714,2048,2048,512,275,64,42,29,27,23
32,714,2048,2048,512,254,60,41,29,27,23
33,714,2048,2048,512,241,59,41,29,27,22
34,714,2048,2048,512,218,57,40,28,26,22
35,713,2048,2048,511,202,55,38,29,25,23
36,713,2048,2048,511,189,53,40,28,24,20
37,714,2048,2048,510,179,54,39,28,24,21
38,714,2048,2048,512,165,51,39,27,25,21
39,713,2048,2048,511,156,50,38,27,24,21
40,713,2048,2048,509,146,49,35,27,24,19
41,714,2048,2048,510,142,50,37,27,24,19
42,713,2048,2048,508,130,46,35,26,23,19
43,714,2048,2048,509,124,47,34,25,20,19
44,714,2048,2048,508,122,47,33,25,21,20
45,713,2048,2048,509,116,45,32,25,21,20
46,713,2048,2048,508,112,45,31,24,22,20
47,713,2048,2048,507,104,43,30,25,20,19
48,713,2048,2048,505,97,43,31,23,21,18
49,712,2048,2048,503,95,41,30,24,20,18
50,713,2048,2048,500,89,41,29,23,19,18
51,713,2048,2048,498,87,39,29,23,20,17
52,713,2048,2048,490,83,39,28,23,20,17
53,712,2048,2048,482,78,38,28,22,18,18
54,712,2048,2048,474,74,37,27,21,18,17
55,712,2048,2048,454,69,36,26,20,19,17
56,712,2048,2048,424,66,35,26,20,18,17
57,712,2048,2048,398,63,34,25,19,18,16
58,712,2048,2048,376,61,33,24,19,18,16
59,712,2048,2047,353,59,33,24,18,18,16
60,712,2048,2047,333,58,33,24,18,18,16
61,712,2048,2047,313,57,33,23,17,18,16
62,712,2048,2047,296,56,32,23,17,17,16
63,712,2048,2047,278,55,32,23,18,17,16
64,711,2048,2046,261,53,30,23,18,17,16
65,711,2048,2046,246,52,30,23,18,17,16
66,711,2048,2046,232,51,30,22,18,17,16
67,710,2048,2046,219,50,30,22,18,17,16
68,710,2048,2046,206,48,30,21,18,17,16
69,710,2048,2046,194,47,30,21,19,17,16
70,710,2048,2046,184,46,29,21,19,17,16
71,710,2048,2046,174,46,28,21,18,17,16
72,710,2048,2045,164,45,28,20,18,18,16
73,710,2048,2045,154,44,28,20,18,17,17
74,712,2048,2047,160,45,28,19,15,13,14
75,712,2048,2047,176,48,29,20,15,14,15
76,712,2048,2048,207,50,30,20,16,15,15
77,712,2048,2047,199,50,30,21,15,15,15
78,712,2048,2047,220,52,31,22,16,15,15
79,712,2048,2048,221,52,31,22,16,16,16
80,712,2048,2048,216,52,31,23,16,16,16
81,712,2048,2047,201,48,31,21,16,16,16
82,712,2048,2047,200,49,30,21,16,15,17
83,712,2048,2047,192,48,31,20,17,14,16
84,712,2048,2047,180,48,30,20,16,14,15
85,712,2048,2046,182,48,30,21,16,14,15
86,712,2048,2046,175,47,29,21,16,14,16
87,712,2048,2047,166,47,30,20,15,14,14
88,712,2048,2047,158,43,28,19,15,13,15
89,712,2048,2047,161,44,28,19,15,14,14
90,712,2048,2047,153,43,29,19,16,14,15
91,712,2048,2046,152,42,28,19,16,14,14
92,712,2048,2046,145,42,28,19,15,14,15
93,712,2048,2046,140,41,27,18,14,13,16
94,712,2048,2046,135,41,26,18,14,14,14
95,712,2048,2046,136,41,26,19,15,14,14
96,712,2048,2046,133,40,26,17,15,13,16
97,712,2048,2047,132,40,26,18,15,13,15
98,712,2048,2046,129,40,27,18,14,13,15
99,712,2048,2045,122,39,25,18,14,13,15
100,712,2048,2046,122,39,26,17,15,13,15
101,712,2048,2046,120,39,25,17,15,14,14
102,712,2048,2046,120,38,25,17,14,13,14
103,712,2048,2046,119,38,25,17,14,13,14
104,712,2048,2046,119,38,25,17,14,13,14
105,712,2048,2046,118,38,25,17,14,13,14
106,712,2048,2046,117,38,25,17,14,13,14
