epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
1,556,1758,929,14,2,1,1,1,1,1
2,542,1452,729,12,3,2,1,1,1,1
3,528,1210,602,11,3,2,2,1,1,1
4,691,2048,2022,52,50,28,13,10,6,5
5,713,2048,2048,64,60,50,33,22,18,17
6,715,2048,2048,64,58,52,35,24,23,22
7,716,2048,2048,64,60,56,35,28,26,27
8,715,2048,2048,64,58,57,37,28,28,25
9,715,2048,2048,64,58,57,37,30,30,26
10,715,2048,2048,64,59,56,39,31,30,25
11,715,2048,2048,64,59,56,36,30,30,24
12,715,2048,2048,64,59,58,37,29,29,24
13,715,2048,2048,64,59,57,36,31,32,23
14,715,2048,2048,64,60,57,37,30,29,24
15,714,2048,2048,64,60,56,37,31,29,24
16,715,2048,2048,64,60,56,37,31,29,23
17,714,2048,2048,64,59,54,36,31,28,23
18,715,2048,2048,64,60,57,35,31,25,24
19,714,2048,2048,64,60,57,35,31,27,24
20,715,2048,2048,64,60,54,35,30,26,23
21,715,2048,2048,64,61,56,34,30,27,23
22,715,2048,2048,64,60,54,34,30,26,23
23,714,2048,2048,64,60,55,34,29,25,23
24,714,2048,2048,64,60,54,32,28,26,22
25,715,2048,2048,64,61,51,30,29,26,24
26,715,2048,2048,64,61,51,32,29,26,22
27,715,2048,2048,64,61,51,31,31,26,21
28,715,2048,2048,64,61,49,30,29,25,22
29,715,2048,2048,64,61,47,30,28,23,21
30,715,2048,2048,64,61,47,29,27,25,20
31,715,2048,2048,64,61,45,30,27,24,21
32,715,2048,2048,64,61,45,29,28,24,20
33,715,2048,2048,64,61,45,29,27,23,22
34,716,2048,2048,64,61,45,28,26,23,21
35,715,2048,2048,64,61,42,28,27,23,21
36,715,2048,2048,64,61,42,29,27,22,21
37,715,2048,2048,64,61,41,27,25,23,20
38,715,2048,2048,64,61,40,27,27,23,21
39,715,2048,2048,64,61,40,28,26,23,20
40,714,2048,2048,64,61,38,28,24,22,22
41,714,2048,2048,64,61,39,27,25,23,20
42,715,2048,2048,64,60,38,27,26,21,20
43,714,2048,2048,64,59,38,25,25,21,20
44,715,2048,2048,64,59,37,26,24,21,20
45,715,2048,2048,64,59,37,26,25,21,20
46,714,2048,2048,64,59,36,25,24,21,20
47,715,2048,2048,64,58,36,25,24,21,19
48,715,2048,2048,64,57,34,24,24,21,19
49,715,2048,2048,64,57,33,24,23,21,19
50,714,2048,2048,64,56,34,25,23,20,18
51,714,2048,2048,64,55,32,24,23,20,18
52,715,2048,2048,64,57,33,26,24,21,20
53,715,2048,2048,64,54,33,25,23,20,19
54,715,2048,2048,64,54,32,23,23,20,19
55,715,2048,2048,64,53,32,24,23,19,18
56,714,2048,2048,64,51,29,24,22,20,18
57,715,2048,2048,64,50,30,23,22,18,18
58,715,2048,2048,64,49,30,22,22,18,19
59,715,2048,2048,64,46,28,22,21,18,17
60,715,2048,2048,64,45,28,20,21,18,16
61,714,2048,2048,64,42,27,20,21,18,16
62,715,2048,2048,64,42,28,21,22,19,17
63,714,2048,2048,64,43,27,21,20,18,16
64,715,2048,2048,64,43,27,22,21,18,17
65,715,2048,2048,64,42,27,21,20,19,18
66,714,2048,2048,64,42,29,22,20,18,18
67,714,2048,2048,64,43,27,23,21,19,17
68,714,2048,2048,64,42,28,23,21,18,18
69,714,2048,2048,64,42,28,22,20,18,17
70,714,2048,2048,64,41,27,21,19,18,17
71,714,2048,2048,64,42,29,23,20,19,18
72,714,2048,2048,64,40,28,21,20,18,17
73,714,2048,2048,64,40,28,22,20,19,17
74,715,2048,2048,64,39,29,21,20,19,17
75,715,2048,2048,64,40,29,21,20,19,16
76,714,2048,2048,64,41,27,21,20,18,16
77,715,2048,2048,64,39,28,22,20,19,16
78,714,2048,2048,64,37,26,21,20,18,16
79,715,2048,2048,64,37,26,22,21,18,16
80,715,2048,2048,64,39,28,21,19,19,17
81,714,2048,2048,64,37,26,20,19,18,17
82,715,2048,2048,64,36,26,20,19,18,17
83,715,2048,2048,64,37,27,22,20,18,16
84,714,2048,2048,64,34,26,21,20,17,17
85,714,2048,2048,64,35,26,21,19,19,16
86,714,2048,2048,64,34,25,21,19,17,16
87,714,2048,2048,64,34,26,20,18,16,16
88,715,2048,2048,64,32,25,20,18,17,16
89,715,2048,2048,64,32,24,19,18,17,15
90,714,2048,2048,64,33,27,20,19,18,16
91,714,2048,2048,64,32,27,20,19,18,16
92,715,2048,2048,64,31,25,21,19,17,17
93,714,2048,2048,64,34,27,20,19,17,16
