epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
1,638,2048,1613,605,96,15,2,1,1,1
2,680,2048,1983,2321,774,191,39,12,8,5
3,711,2048,2048,4074,2845,684,105,44,38,32
4,712,2048,2048,4092,3077,632,90,42,37,33
5,713,2048,2048,4094,3065,555,78,40,35,32
6,713,2048,2048,4094,2992,491,70,41,37,32
7,712,2048,2048,4095,2869,421,63,40,37,34
8,714,2048,2048,4094,2769,375,60,40,37,35
9,712,2048,2048,4094,2582,320,56,39,36,33
10,714,2048,2048,4091,2323,251,50,36,34,33
11,714,2048,2048,4095,2184,230,48,37,34,33
12,714,2048,2048,4095,2011,201,47,36,35,33
13,713,2048,2048,4094,1836,175,44,35,33,33
14,713,2048,2048,4093,1679,157,44,36,34,32
15,713,2048,2048,4095,1493,136,42,35,33,32
16,713,2048,2048,4090,1344,120,40,34,31,30
17,713,2048,2048,4089,1201,110,40,33,31,32
18,713,2048,2048,4088,1044,95,36,31,29,30
19,712,2048,2048,4085,912,85,36,30,30,30
20,712,2048,2048,4086,818,79,35,30,29,28
21,713,2048,2048,4075,680,68,34,28,26,27
22,712,2048,2048,4063,585,61,34,27,27,27
23,712,2048,2048,4042,510,57,33,28,27,27
24,712,2048,2048,4000,428,51,31,26,26,27
25,712,2048,2048,3927,366,46,29,25,24,25
26,712,2048,2048,3838,334,46,29,26,25,26
27,712,2048,2048,3670,295,44,29,25,25,25
28,712,2048,2048,3513,267,42,27,24,24,24
29,712,2048,2048,3351,242,40,27,24,23,24
30,712,2048,2048,3174,221,39,27,24,23,24
31,712,2048,2048,2984,201,38,26,23,23,24
32,712,2048,2048,2875,183,36,26,23,22,23
33,712,2048,2048,2682,166,36,26,21,23,23
34,712,2048,2048,2634,160,35,26,21,22,23
35,712,2048,2048,2546,148,34,24,20,21,23
36,712,2048,2048,2492,146,35,26,22,22,24
37,712,2048,2048,2313,132,34,24,20,21,23
38,712,2048,2048,2200,123,33,24,19,19,22
39,712,2048,2048,2070,116,33,23,19,18,21
40,712,2048,2048,2004,110,32,24,20,19,21
41,712,2048,2048,1872,105,31,24,19,20,22
42,712,2048,2048,1728,96,31,22,19,19,20
43,712,2048,2048,1583,92,30,21,18,19,21
44,712,2048,2048,1454,87,30,22,18,19,21
45,711,2048,2048,1308,82,30,22,19,19,20
46,710,2048,2048,1160,77,28,21,18,18,20
47,710,2048,2048,1039,72,28,21,18,18,20
48,710,2048,2048,946,68,27,21,18,19,20
49,710,2048,2048,859,65,27,21,19,19,20
50,710,2048,2048,782,61,27,21,19,19,20
51,710,2048,2048,712,58,27,21,19,19,20
52,709,2048,2048,649,55,27,20,19,19,20
53,708,2048,2048,594,54,27,20,19,19,20
54,708,2048,2045,543,52,27,19,19,19,20
55,707,2048,2045,497,50,27,19,19,19,20
56,707,2048,2045,455,47,26,19,19,19,20
57,707,2048,2044,414,46,26,19,19,19,20
58,707,2048,2042,380,43,26,19,19,19,20
59,707,2048,2040,348,42,26,19,19,19,20
60,707,2048,2038,321,41,26,19,19,19,20
61,707,2048,2037,292,39,26,19,18,19,20
62,707,2048,2036,266,38,24,19,17,19,19
63,710,2048,2045,275,35,21,15,14,14,16
64,710,2048,2047,338,37,20,15,13,14,17
65,710,2048,2046,343,37,22,16,14,15,17
66,710,2048,2047,360,39,20,16,13,14,17
67,710,2048,2048,350,37,20,15,13,13,17
68,710,2048,2048,354,38,21,15,13,13,17
69,710,2048,2048,343,37,21,15,12,13,17
70,710,2048,2048,319,36,21,15,13,14,17
