epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
1,568,1937,949,38,5,1,1,1,1,1
2,551,1642,712,29,5,1,1,1,1,1
3,535,1353,568,24,6,3,1,1,1,1
4,527,1173,499,25,6,3,2,2,1,1
5,708,2048,2048,247,198,100,32,18,15,15
6,714,2047,2047,256,228,170,92,55,36,29
7,714,2047,2048,256,235,181,102,68,48,31
8,715,2047,2048,256,237,181,99,67,48,31
9,715,2047,2048,256,234,175,95,66,50,32
10,714,2047,2048,256,234,174,98,68,52,34
11,714,2047,2048,256,233,166,92,68,50,31
12,714,2047,2048,256,235,170,97,71,50,33
13,715,2047,2048,256,237,165,92,72,50,34
14,715,2047,2048,256,236,162,92,72,50,32
15,715,2047,2048,256,234,153,84,65,45,31
16,715,2047,2048,256,235,149,82,64,45,30
17,715,2047,2048,256,235,137,76,59,41,27
18,715,2047,2048,256,235,136,79,60,42,29
19,714,2047,2048,256,233,132,79,58,41,29
20,714,2047,2048,255,229,121,64,50,35,27
21,714,2047,2048,256,232,115,66,49,35,25
22,715,2047,2048,256,229,112,63,47,34,24
23,715,2047,2048,256,230,108,62,46,33,27
24,715,2047,2048,256,229,100,59,44,32,25
25,715,2047,2048,256,224,96,59,44,33,25
26,715,2047,2048,255,224,90,54,42,32,25
27,714,2047,2048,255,219,81,50,38,29,24
28,715,2047,2048,256,215,75,46,35,29,23
29,715,2046,2048,256,208,72,45,36,28,23
30,715,2046,2048,255,201,69,44,34,28,23
31,715,2046,2048,255,194,66,45,34,28,23
32,715,2046,2048,255,188,63,44,32,27,22
33,715,2046,2048,255,180,60,39,32,28,23
34,714,2046,2048,255,172,56,39,31,25,21
35,715,2046,2048,255,163,56,40,29,25,21
36,715,2046,2048,255,156,54,37,28,25,21
37,714,2046,2048,255,145,49,36,27,24,20
38,715,2046,2048,255,137,48,35,27,24,20
39,714,2046,2048,255,128,45,32,24,24,19
40,714,2046,2048,255,121,44,32,25,22,18
41,715,2046,2048,255,115,43,32,25,23,18
42,715,2045,2048,255,108,42,32,25,22,18
43,714,2045,2048,255,103,40,31,23,23,18
44,714,2045,2048,255,98,40,31,24,22,17
45,714,2045,2048,255,93,39,30,25,22,17
46,712,2045,2048,255,88,37,29,23,22,18
47,713,2045,2048,255,84,38,30,24,23,17
48,714,2045,2048,254,79,37,29,24,21,16
49,714,2045,2048,254,78,36,28,24,20,15
50,713,2045,2048,254,76,35,27,23,22,17
51,713,2045,2048,254,70,34,27,24,20,17
52,713,2045,2048,255,73,36,27,25,21,18
53,714,2045,2048,254,69,34,25,22,20,17
54,713,2045,2048,255,69,34,26,24,20,17
55,712,2045,2048,255,72,35,26,24,21,17
56,713,2045,2048,255,69,34,27,23,20,17
57,713,2045,2048,255,61,33,25,22,19,16
58,714,2045,2048,254,62,33,25,22,19,16
59,713,2044,2048,255,61,33,25,22,19,15
60,713,2044,2048,254,59,32,25,21,19,14
61,713,2044,2048,254,59,31,25,22,20,16
62,713,2045,2048,252,56,30,24,21,18,15
63,712,2045,2048,251,54,30,24,21,18,14
64,713,2045,2047,250,55,30,24,21,18,15
65,712,2045,2047,244,55,30,24,20,17,15
66,712,2044,2048,236,48,27,22,20,18,15
67,713,2044,2048,239,51,29,22,20,18,15
68,713,2044,2048,228,53,30,24,21,18,14
69,713,2044,2048,225,49,28,21,19,18,16
70,712,2044,2048,220,50,29,22,20,18,15
71,713,2044,2048,211,47,27,21,19,17,13
72,713,2044,2048,211,46,28,22,19,18,14
73,713,2044,2047,208,48,29,23,21,18,15
74,712,2044,2048,202,46,26,21,20,18,15
75,713,2044,2048,199,44,25,20,19,16,14
76,712,2044,2048,189,44,26,21,19,17,14
77,713,2043,2047,190,45,26,20,19,17,12
78,713,2043,2047,183,46,27,21,20,18,14
79,712,2043,2047,174,45,26,21,19,17,13
80,712,2043,2048,164,42,25,21,18,17,14
81,712,2043,2048,166,41,25,20,18,16,12
82,713,2043,2048,163,41,25,20,18,16,14
83,712,2043,2048,159,40,25,20,18,15,14
84,712,2043,2047,162,41,25,20,19,16,14
85,713,2043,2048,160,42,26,21,19,16,13
86,713,2043,2047,155,42,25,21,18,16,14
87,712,2043,2048,155,40,25,20,18,16,13
88,712,2043,2047,151,39,23,20,18,15,13
89,712,2043,2048,152,42,25,20,18,16,15
90,712,2043,2048,144,37,23,19,17,15,13
91,712,2043,2048,139,39,23,20,17,15,11
92,712,2043,2047,138,39,23,20,16,15,11
93,712,2043,2047,131,39,23,20,17,15,14
94,712,2043,2047,131,39,24,20,17,17,14
95,712,2043,2046,126,39,23,19,16,15,13
96,712,2043,2047,125,38,24,20,16,15,12
97,712,2043,2047,125,39,23,20,16,16,13
98,712,2043,2048,124,36,22,19,16,15,13
99,712,2043,2048,125,37,23,20,17,16,13
100,712,2042,2047,123,39,23,19,16,15,13
101,712,2042,2047,122,39,23,19,16,15,13
102,712,2042,2047,122,39,23,19,16,15,12
103,713,2042,2047,122,39,23,19,16,15,12
104,712,2042,2047,121,39,23,19,16,15,11
105,712,2042,2047,121,39,23,19,16,15,11
106,712,2042,2047,120,38,23,19,16,15,11
107,712,2042,2047,120,38,23,19,16,15,11
108,712,2042,2047,119,38,23,19,16,15,11
109,712,2042,2047,119,38,23,18,16,15,11
110,712,2042,2047,117,38,23,19,16,15,11
111,712,2042,2047,117,38,23,18,16,15,11
112,712,2042,2047,116,37,23,18,16,15,11
113,712,2042,2047,115,37,23,18,16,15,11
114,712,2042,2047,115,37,22,18,16,15,11
115,712,2042,2047,113,37,22,18,16,15,11
116,712,2042,2047,112,37,22,18,16,15,11
117,712,2042,2047,112,37,22,18,16,15,11
118,712,2042,2047,111,37,22,18,16,15,11
119,712,2042,2046,110,37,22,18,16,15,11
120,712,2042,2046,110,37,22,18,16,15,11
121,712,2042,2046,109,36,22,18,16,15,11
122,712,2042,2046,108,36,22,18,15,15,11
123,712,2042,2046,108,36,22,18,15,15,11
124,712,2042,2046,108,36,22,18,15,15,11
125,712,2042,2046,108,36,22,18,15,15,11
126,712,2042,2046,108,36,22,18,15,15,11
127,712,2042,2046,106,36,22,18,15,15,11
128,712,2042,2046,106,36,21,18,15,15,11
129,712,2042,2046,105,36,21,18,15,15,11
130,712,2042,2045,105,36,21,18,15,15,11
131,712,2042,2045,104,36,21,17,15,15,11
132,712,2042,2045,104,36,21,18,15,15,11
133,712,2042,2044,104,36,21,17,15,15,11
134,712,2042,2044,103,36,21,17,15,15,11
135,712,2042,2044,102,35,21,17,15,15,11
136,712,2042,2043,102,35,21,17,15,15,11
137,712,2042,2043,101,35,21,17,15,15,11
138,712,2042,2043,101,35,21,17,15,15,11
139,712,2042,2043,101,35,21,17,15,15,11
140,712,2042,2043,100,35,21,17,15,15,11
141,712,2042,2043,100,35,21,17,15,15,11
142,712,2042,2043,100,35,21,17,15,15,11
143,712,2042,2043,99,35,21,17,15,15,11
144,712,2042,2043,99,35,21,17,15,15,11
145,712,2042,2043,99,35,21,17,15,15,11
146,712,2042,2043,99,35,21,17,15,15,11
147,712,2042,2043,98,35,21,17,15,15,11
148,712,2042,2043,98,35,21,17,15,15,11
149,712,2042,2043,97,34,21,17,15,15,11
150,712,2042,2043,97,34,21,17,15,15,11
151,712,2042,2043,97,34,21,17,15,15,11
152,712,2042,2042,97,35,21,17,15,15,11
153,712,2042,2042,96,35,21,17,15,15,11
154,712,2042,2042,96,34,20,17,15,15,11
155,712,2042,2041,96,35,21,17,15,15,11
156,712,2042,2041,96,35,20,17,15,15,11
157,712,2042,2041,95,35,20,17,15,15,11
158,711,2042,2041,95,35,20,17,15,15,11
159,711,2042,2041,95,35,20,17,15,15,11
160,712,2042,2041,94,35,20,17,15,15,11
161,711,2042,2041,94,35,20,17,15,15,11
162,711,2042,2040,94,35,20,17,15,15,11
163,711,2042,2040,94,35,20,17,15,15,11
164,711,2042,2040,94,35,20,17,15,15,11
165,711,2042,2040,94,35,20,17,15,15,11
166,710,2042,2040,94,35,20,17,15,15,11
167,711,2042,2039,93,35,20,17,15,15,12
168,711,2042,2039,93,35,20,17,15,15,12
169,711,2042,2039,93,35,20,17,15,15,12
170,711,2042,2039,92,35,20,17,15,15,12
171,711,2042,2039,92,35,20,17,15,15,12
172,711,2042,2039,92,35,20,17,15,15,12
173,711,2042,2039,92,35,20,17,15,15,12
174,710,2042,2039,92,35,20,17,15,15,12
175,711,2042,2038,92,35,20,17,15,15,12
176,710,2042,2039,92,35,20,17,15,15,12
177,711,2042,2038,92,35,20,17,15,15,12
178,710,2042,2039,92,35,20,17,15,15,12
179,711,2042,2038,92,35,20,17,15,15,12
180,710,2042,2038,92,35,20,17,15,15,12
181,710,2042,2038,92,35,20,17,15,15,12
182,711,2042,2038,92,35,20,17,15,15,12
