epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
1,612,2046,1506,184,25,2,1,1,1,1
2,596,2038,1109,125,18,3,2,1,1,1
3,601,2042,1229,172,31,6,4,2,2,2
4,712,2048,2048,1017,899,401,86,28,23,18
5,715,2048,2048,1024,931,447,99,39,33,31
6,715,2048,2048,1024,944,467,113,45,37,32
7,714,2048,2048,1024,954,465,119,47,38,33
8,715,2048,2048,1024,956,457,130,56,38,31
9,715,2048,2048,1024,960,467,139,58,40,35
10,714,2048,2048,1024,963,441,121,50,40,35
11,716,2048,2048,1024,965,427,127,57,40,34
12,715,2048,2048,1024,964,402,120,56,39,34
13,715,2048,2048,1024,959,387,123,57,40,35
14,715,2048,2048,1024,954,355,112,55,39,33
15,715,2048,2048,1024,946,324,108,54,39,31
16,714,2048,2048,1024,942,295,94,47,34,31
17,715,2048,2048,1024,929,270,89,46,33,30
18,714,2048,2048,1024,912,229,72,42,33,28
19,715,2048,2048,1024,895,210,70,43,34,29
20,715,2048,2048,1024,881,199,69,41,33,28
21,714,2048,2048,1024,843,177,64,40,32,27
22,715,2048,2048,1024,806,159,60,38,31,27
23,714,2048,2048,1023,764,146,57,38,31,27
24,715,2048,2048,1024,718,126,53,37,32,28
25,715,2048,2048,1023,676,119,52,36,31,27
26,714,2048,2048,1023,628,108,49,36,31,27
27,715,2048,2048,1023,586,95,45,33,28,25
28,715,2048,2048,1023,541,89,44,33,29,25
29,715,2048,2048,1023,484,80,42,32,27,25
30,715,2048,2048,1023,464,76,43,31,28,25
31,714,2048,2048,1023,403,68,39,30,27,26
32,714,2048,2048,1023,369,65,39,29,26,24
33,714,2048,2048,1024,338,63,39,29,26,23
34,714,2048,2048,1022,321,62,40,30,26,23
35,714,2048,2048,1023,289,58,37,28,25,22
36,715,2048,2048,1024,264,54,36,27,24,23
37,714,2048,2048,1023,249,55,36,28,24,23
38,714,2048,2048,1023,223,50,34,26,24,21
39,714,2048,2048,1021,209,50,34,26,24,22
40,714,2048,2048,1022,189,48,33,26,23,22
41,714,2048,2048,1021,178,49,34,26,25,24
42,714,2048,2048,1020,165,45,30,26,23,21
43,714,2048,2048,1020,152,44,30,25,23,22
44,715,2048,2048,1020,145,44,30,23,22,20
45,714,2048,2048,1017,133,43,30,24,23,22
46,714,2048,2048,1016,124,41,30,23,22,20
47,713,2048,2048,1013,120,41,29,23,22,19
48,713,2048,2048,1010,109,38,28,22,21,18
