epoch,train_err,test_err,gap,epsilon_sum,sum_bound,riemann_sum_terms
1,0.6089,0.5864,-0.022499999999999964,1.2447682177613824,25.20913963407753,28714554.86895752
2,0.45372,0.4558,0.0020799999999999708,0.936046498451585,26.749310937165475,33316231.04914856
3,0.42003999999999997,0.42500000000000004,0.0049600000000000755,16.71618501798026,40.79787356723234,28996386.169158936
4,0.29886,0.3055,0.006639999999999979,48.3752007565183,71.5877187429244,26941049.563461304
5,0.24461999999999995,0.24650000000000005,0.0018800000000001038,73.93623414242988,96.88490616706277,26332077.384708405
6,0.23936000000000002,0.25060000000000004,0.011240000000000028,70.97702769042708,93.7459628792445,25921220.481628418
7,0.27680000000000005,0.30269999999999997,0.025899999999999923,65.22025050315364,88.06344687467218,26090581.02338791
8,0.29856000000000005,0.31000000000000005,0.011440000000000006,63.799621473436055,86.69079100452696,26200282.12505722
9,0.2239,0.23260000000000003,0.008700000000000041,95.440055936934,118.1556763214431,25799970.47265625
10,0.20930000000000004,0.21989999999999998,0.010599999999999943,105.68998414989996,128.3384912298712,25647743.64757538
11,0.22550000000000003,0.24119999999999997,0.015699999999999936,104.68578182178253,127.47439979573333,25966055.458133698
12,0.17554000000000003,0.18810000000000004,0.012560000000000016,83.21382165031706,106.17246508604492,26354965.42044449
13,0.20665999999999995,0.2197,0.013040000000000052,111.94867136718621,134.76239237663654,26023293.31485176
14,0.21152000000000004,0.22440000000000004,0.012880000000000003,125.19873090271345,147.90066630245528,25768893.54470253
15,0.21226,0.22950000000000004,0.017240000000000033,152.8490071582808,175.50760487345445,25670602.520903587
16,0.19147999999999998,0.20089999999999997,0.009419999999999984,220.22566159283332,242.70144835701626,25258049.53345108
17,0.21245999999999998,0.22999999999999998,0.01754,254.02592133308787,276.47370635884846,25195152.628138065
18,0.19579999999999997,0.21319999999999995,0.01739999999999997,277.8572405056042,300.2794371402653,25137745.096170425
19,0.18457999999999997,0.19920000000000004,0.014620000000000077,301.7031919606168,324.12070079565876,25127235.118459225
20,0.21562000000000003,0.23099999999999998,0.01537999999999995,317.69297939276373,340.00828277357624,24898638.248885155
21,0.18318,0.1935,0.010319999999999996,452.45145597115595,474.48175877766914,24266712.087333202
22,0.22485999999999995,0.24409999999999998,0.019240000000000035,448.1656204689233,470.23175579019244,24345716.400828123
23,0.18513999999999997,0.19720000000000004,0.01206000000000007,498.5760225003288,520.7682006739714,24624638.604534924
24,0.21189999999999998,0.22999999999999998,0.018100000000000005,660.9894946061122,682.914112338246,24034443.135009766
25,0.18530000000000002,0.20040000000000002,0.015100000000000002,694.5882643406192,716.5450621827544,24105048.574019507
26,0.17591999999999997,0.19679999999999997,0.02088000000000001,682.6463312543058,704.6313519766924,24167056.80818844
27,0.20799999999999996,0.22829999999999995,0.020299999999999985,738.4026125102821,760.2522272218049,23870283.15209961
28,0.19886000000000004,0.21419999999999995,0.01533999999999991,932.3684919691034,954.1691492077088,23763432.801757812
29,0.28198,0.2875,0.005519999999999969,886.4203950977374,908.1790657792487,23671987.491323113
30,0.1875,0.21009999999999995,0.022599999999999953,822.7494346638528,844.6602818869785,24004261.301757812
31,0.21187999999999996,0.2298,0.017920000000000047,973.7079768349865,995.584942464977,23930081.258789062
32,0.18584,0.20189999999999997,0.016059999999999963,1366.8351047720091,1388.5198318994046,23511369.52947998
33,0.20486000000000004,0.21550000000000002,0.010639999999999983,1056.6928454997249,1078.34650722542,23444053.30654198
34,0.3095,0.32830000000000004,0.01880000000000004,1085.549307709459,1107.2328777851083,23508860.561279297
35,0.20289999999999997,0.20799999999999996,0.005099999999999993,1140.3756824895645,1162.0460829702245,23480312.849609375
36,0.17366000000000004,0.1825,0.008839999999999959,1363.7659305289696,1385.3391969077486,23270291.112487793
37,0.23558,0.24180000000000001,0.006220000000000003,1612.1499164958566,1633.5210697902182,22836309.656555176
38,0.22143999999999997,0.23729999999999996,0.015859999999999985,1195.3146773756307,1217.0218516393197,23560070.725708008
39,0.20614,0.21960000000000002,0.013460000000000027,1400.9265097476111,1422.4922935453155,23254151.54046631
40,0.19742000000000004,0.20899999999999996,0.011579999999999924,1443.210073587725,1464.7560977211529,23211557.797912598
41,0.16693999999999998,0.1845,0.01756000000000002,1265.6322752511524,1287.3116012622434,23499658.8147583
42,0.16068000000000005,0.17979999999999996,0.019119999999999915,1339.1530475039979,1360.810172384132,23451552.903686523
43,0.1673,0.18120000000000003,0.013900000000000023,1445.03794853163,1466.6573141005485,23369848.380126953
44,0.19784000000000002,0.2148,0.016959999999999975,1705.4438917319933,1726.912242593344,23044504.435302734
45,0.25270000000000004,0.26249999999999996,0.00979999999999992,1440.1618970082093,1461.7144775665072,23225686.43609619
46,0.28869999999999996,0.31989999999999996,0.031200000000000006,1415.8372270430984,1437.4315169773586,23315667.88824463
47,0.23724,0.2591,0.02185999999999999,1712.8383090799173,1734.3081129404288,23047623.890441895
48,0.18230000000000002,0.19189999999999996,0.009599999999999942,2013.7835592787371,2035.0624291213287,22639515.088897705
49,0.17567999999999995,0.20640000000000003,0.03072000000000008,1692.6021250160386,1714.0189691515316,22934060.63619995
50,0.19066000000000005,0.20799999999999996,0.01733999999999991,1538.6275649425654,1560.1789299874495,23223066.764892578
51,0.06425999999999998,0.09330000000000005,0.029040000000000066,670.2044116583156,692.1589410227207,24100067.980626106
52,0.05571999999999999,0.0877,0.03198000000000001,259.31412455028453,281.8971439705936,25499638.306902885
53,0.05262,0.08779999999999999,0.03517999999999999,115.69866486648029,138.72062196005402,26500525.42091751
