epoch,train_err,test_err,gap,epsilon_sum,sum_bound,riemann_sum_terms
1,0.69318,0.6784,-0.014780000000000015,nan,nan,0.0
2,0.60426,0.6072,0.0029399999999999427,nan,nan,0.0
3,0.55948,0.5391,-0.020379999999999954,nan,nan,0.0
4,0.40296,0.3932,-0.009759999999999991,nan,nan,0.0
5,0.43716,0.44220000000000004,0.0050400000000000444,nan,nan,0.0
6,0.46553999999999995,0.4617,-0.0038399999999999546,nan,nan,0.0
7,0.27932,0.30089999999999995,0.021579999999999933,nan,nan,0.0
8,0.24582000000000004,0.25329999999999997,0.007479999999999931,nan,nan,0.0
9,0.24107999999999996,0.24719999999999998,0.006120000000000014,261638023425.97867,261638023446.28088,20609024.315146923
10,0.26832,0.281,0.012680000000000025,2324984131.2485943,2324984152.157645,21859420.749752045
11,0.25342,0.25760000000000005,0.0041800000000000725,37369247.61343773,37369269.162051104,23217136.925411224
12,0.25207999999999997,0.26449999999999996,0.012419999999999987,1357011.8610334992,1357033.9002430819,24286337.951351
13,0.28446000000000005,0.2946,0.010139999999999927,111386.35379422376,111409.27927988586,26278894.642147064
14,0.29632000000000003,0.31589999999999996,0.01957999999999993,15394.068443093116,15418.155929553723,29010350.199495316
15,0.20955999999999997,0.2207,0.011140000000000039,5411.814758746112,5436.667879925825,30883881.618675232
16,0.24368,0.24919999999999998,0.005519999999999969,2579.301784991477,2604.8069413073094,32525649.934753418
17,0.24446,0.265,0.020540000000000003,1744.8574473607384,1770.6132212370705,33167994.3984375
18,0.18508000000000002,0.19310000000000005,0.008020000000000027,1605.7670400980417,1631.6225723000052,33425427.272338867
19,0.23229999999999995,0.24619999999999997,0.013900000000000023,2013.815137708941,2039.4369652603943,32823902.3538208
20,0.17386000000000001,0.18820000000000003,0.01434000000000002,1297.1419487923583,1323.3865364554176,34438919.080200195
21,0.21916000000000002,0.23550000000000004,0.01634000000000002,1788.8016957299872,1814.6607449096755,33434521.223876953
22,0.18947999999999998,0.20650000000000002,0.017020000000000035,1745.0308886717905,1770.9001560939741,33460949.84802246
23,0.22263999999999995,0.23970000000000002,0.017060000000000075,2072.6090695777566,2098.1008206051597,32491468.52215576
24,0.27527999999999997,0.29969999999999997,0.024419999999999997,3216.1875689975814,3241.7262856015755,32611302.28895569
25,0.25512,0.2761,0.02098,3106.4128146882113,3132.227471580057,33319825.52218628
26,0.25717999999999996,0.2679,0.010720000000000063,2931.5257095012203,2957.185372991289,32920916.5211792
27,0.21111999999999997,0.22760000000000002,0.01648000000000005,3797.807928367688,3823.4808461216744,32954935.30014801
28,0.18994,0.19569999999999999,0.005759999999999987,3180.628913097761,3206.4918589943372,33444598.522460938
29,0.18877999999999995,0.21330000000000005,0.024520000000000097,5148.353139533241,5173.797986079751,32372010.788772583
30,0.21436,0.2279,0.013539999999999996,5561.082734996637,5586.5298687117665,32377830.71578598
31,0.20511999999999997,0.2156,0.010480000000000045,4924.646223044658,4950.25319842268,32785859.40053177
32,0.16722000000000004,0.17759999999999998,0.010379999999999945,5986.4937916446925,6012.051514417998,32659859.667858124
33,0.18882,0.19979999999999998,0.01097999999999999,7135.085739355323,7159.973209491826,30969308.489767075
34,0.18684,0.20530000000000004,0.018460000000000032,6863.649172354848,6888.623283678782,31185311.821012497
35,0.21731999999999996,0.24170000000000003,0.02438000000000007,8024.823281102874,8049.721047653549,30994938.96059704
36,0.19730000000000003,0.20640000000000003,0.009099999999999997,7163.511201431385,7188.43704730224,31064889.61887932
37,0.23404000000000003,0.252,0.017959999999999976,9907.681154828699,9932.464334438484,30710299.578544617
38,0.19574000000000003,0.21540000000000004,0.01966000000000001,9204.753368686053,9229.619432703874,30916056.986919403
39,0.17810000000000004,0.20220000000000005,0.02410000000000001,6170.39352956254,6195.457309551606,31409653.36701584
40,0.15293999999999996,0.1654,0.012460000000000027,6883.454453164139,6908.568194980641,31535001.401298523
41,0.18954000000000004,0.20430000000000004,0.014759999999999995,8717.849603021225,8742.822840867797,31183130.427074432
42,0.2067,0.2348,0.028100000000000014,11760.786515725877,11785.6811513395,30987144.11675453
43,0.19410000000000005,0.2046,0.010499999999999954,8692.711711154427,8717.67461548638,31157329.6343112
44,0.22919999999999996,0.2389,0.009700000000000042,8229.786140097587,8254.789571093472,31258578.07829666
45,0.15422000000000002,0.17300000000000004,0.01878000000000002,10355.063458305916,10379.876121114725,30783411.783180237
46,0.21699999999999997,0.23309999999999997,0.016100000000000003,16839.86590683417,16864.307447015683,29869444.322227478
47,0.16161999999999999,0.1754,0.013780000000000014,10015.507945624768,10040.397436763164,30974338.45641327
48,0.16635999999999995,0.16990000000000005,0.0035400000000000986,12054.2228774228,12078.942490918138,30552964.56794548
49,0.26337999999999995,0.28059999999999996,0.017220000000000013,19061.19102720181,19085.551692208384,29672099.97812271
50,0.20843999999999996,0.22829999999999995,0.01985999999999999,11759.685488095658,11784.367534721921,30460171.28305006
51,0.059699999999999975,0.0927,0.03300000000000003,2953.256615914426,2978.9745876838997,33070703.59677124
